brand;diagonal;old_price;new_price;product_code;name;url
AOC;25;11004;10620;WG00373121;Монітор AOC 25G4SXU, 24.5 Fast IPS, 300Гц, 2xHDMI/DP, HAS, Pivot, чорно-сірий;https://nimpha.ua/373759-monitor-aoc-25g4sxu-245-fast-ips-300gts-2xhdmi-dp-has-pivot-chorno-siriy
Philips;21.5;3139;3119;WG00152750;Монітор, Philips V-line 221V8/00, 21.5, VA, 1920x1080, 75Гц;https://nimpha.ua/170634-monitor-philips-221v8-00
Philips;23.8;6321;6228;WG00191011;Монітор, Philips S-Line 242S1AE (242S1AE/00), 23.8, IPS, 1920x1080, 75Гц;https://nimpha.ua/204798-monitor-24-philips-242s1ae-00-ips-fullhd
BenQ;27;9460;9398;WG00211702;Монітор BenQ EX2710Q Grey 27 16:9 IPS, QHD, 165 Гц, 1 мс, FreeSync, HDRi, 2xHDMI 2.0, 1xDP 1.4, 2xUSB 3.0;https://nimpha.ua/217540-monitor-benq-ex2710q-9hlk4latbe
ViewSonic;31.5;7750;7719;WG00230165;Монітор VIEWSONIC 32 VA3209-MH;https://nimpha.ua/231245-monitor-viewsonic-va3209-mh-315ips-1920x1080-169-vga-hdmi-75gts-4ms
Philips;27;9999;9551;WG00233760;Монітор 27 Philips 275S1AE, IPS, QHD,DVI-D, DP, HDMI, pivot,  колонки, чорний;https://nimpha.ua/234781-monitor-27-philips-275s1ae-ips-qhddvi-d-dp-hdmi-pivot--kolonki-chorniy
ASUS;27;27499;25169;WG00240648;Монітор Asus 27 ROG Strix XG27AQ-W 2xHDMI, DP, 2xUSB, MM, IPS, 2560x1440, 170Hz, 1ms, sRGB 130%, G-SYNC, Pivot, HDR400, White;https://nimpha.ua/241602-monitor-asus-27-rog-strix-xg27aq-w-2xhdmi-dp-2xusb-mm-ips-2560x1440-170hz-1ms-srgb-130-g-sync-pivot-hdr400-white
Acer;23.8;4099;3999;WG00252916;Монітор Acer VG243YEBII 23.8 IPS,1920*1080,100 Гц,VGA,HDMI*2;https://nimpha.ua/253698-monitor-ips-23819201080100-gtsvgahdmi2-vg243yebii
ASUS;23.8;3786;3569;WG00253672;Монітор Asus 23.8 VA24EHF HDMI, IPS, 100Hz, 1ms, Freesync;https://nimpha.ua/254496-monitor-asus-238-va24ehf-hdmi-ips-100hz-1ms-freesync
AOC;31.5;40744;40647;WG00258299;Монітор TFT 31,5 AOC AGON PRO AG324UX, 4K UHD, IPS, 144Hz, 1ms, 2xHDMI, DP, USB-C, USB-hub, HAS, Pivot, кол;https://nimpha.ua/258890-monitor-tft-315-aoc-agon-pro-ag324ux-4k-uhd-ips-144hz-1ms-2xhdmi-dp-usb-c-usb-hub-has-pivot-kol
BenQ;27;25318;25318;WG00258289;Монітор BenQ PD2706UA Dark Grey 27 16:9 IPS, 3840x2160, 5 мс, 95% DCI  P3, HDR10,  1xHDMI 2.0/1xDP 1.4/1xUSB Type C;https://nimpha.ua/258986-monitor-tft-27-benq-pd2706ua-4k-uhd-ips-99-srgb-hdr10-hdmi-dp-usb-c-usb-hub-has-kolonki
Prologix;23.8;3899;3469;WG00264192;Монітор Prologix 23.8 PL2424HD IPS Black 100Hz;https://nimpha.ua/264645-monitor-prologix-238-pl2424hd-ips-black-100hz
Dell;23.8;10499;9822;WG00282561;Монітор DELL 23.8 U2424H HDMI, DP, USB, Audio, IPS, 120Hz, sRGB 100%, Pivot;https://nimpha.ua/282379-monitor-dell-238-u2424h-hdmi-dp-usb-audio-ips-120hz-srgb-100-pivot
MSI;23.8;6468;6247;WG00282574;Монітор MSI 23.8 Modern MD2412PW HDMI, USB-C, MM, IPS, 100Hz, 4ms, sRGB 114%, Pivot, білий;https://nimpha.ua/282452-monitor-msi-238-modern-md2412pw-hdmi-usb-c-mm-ips-100hz-4ms-srgb-114-pivot-biliy
MSI;24;7186;7186;WG00287117;Монітор MSI 24 G24C6P E2;https://nimpha.ua/287042-monitor-24-curved-g24c6p-e2-msi
Lenovo;21.5;4505;4459;WG00294520;Монітор Lenovo ThinkVision E22-28 21.5 16:9 IPS РК монітор, 1920x1080, 4ms, VGA/HDMI/DisplayPort, Speakers, LTPS;https://nimpha.ua/294448-monitor-lenovo-thinkvision-e22-28-215-169-ips-rk-monitor-1920x1080-4ms-vga-hdm-i-displayport-speakers-ltps
ASUS;31.5;37399;35609;WG00295976;Монітор Asus PA329CRV 31.5 IPS,3840*2160,60 Гц,U SB-C 96W;https://nimpha.ua/295905-monitor-profesiyniy-asus-proart-ips-4k-3153840216060-gtsu-sb-c-96w-pa329crv
ASUS;27;17969;17969;WG00296138;Монітор Asus VG27AQM1A 27 IPS,2560*1440,260 Гц;https://nimpha.ua/296051-monitor-igroviy-asus-tuf-gaming-vg27aqm1a-ips-2725601440260-gts
iiyama;23.8;8055;8055;WG00296337;Монітор iiyama ProLite XUB2492QSU-B1 23.8 16:9 IPS РК, 2560х1440, 0.5 мс (MPRT), 100 Гц, FreeSync, 1xHDMI/1xDP/2xUSB 3.2, SP 2х2;https://nimpha.ua/296243-monitor-iiyama-prolite-xub2492qsu-b1-238-169-ips-rk-2560kh1440-05-ms-mprt-100-gts-freesync-1xhdmi-1xdp-2xusb-32-sp-2kh2
